AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.657695059,0.578511863,0.510592852,0.109980059,0.300453834,0.851641357,0.362797103,0.653162242,0.949226449,0.941188752,0.23841095,0.563962983,0.256393151
0.217191112,0.150142748,0.934871264,0.08786827,0.511250986,0.829892274,0.375060748,0.229379013,0.899284926,0.851142206,0.181753104,0.517691889,0.30353569
0.240878821,0.182245508,0.905330737,0.067228951,0.219854079,0.962874869,0.305697174,0.305392899,0.948682401,0.960256413,0.244832768,0.549809472,0.245941739
0.599432315,0.552059941,0.480414931,0.092059419,0.15248177,0.943100029,0.114698182,0.582494482,0.977031725,0.954219795,0.265761273,0.505443658,0.146097398
0.592553476,0.453132562,0.686607779,0.323478731,0.411801652,0.991973824,0.205537932,0.579256523,0.950316528,0.989593292,0.510227643,0.239248775,0.019568601
0.355277871,0.211708936,0.894687137,0.089633669,0.663203373,0.964093369,0.207433783,0.34695563,0.978772252,0.973957904,0.168655399,0.429232444,0.332443851
0.448177361,0.303320905,0.84189993,0.469280015,0.327328092,0.978325088,0.156870318,0.453466439,0.972392262,0.985092694,0.493821885,0.615949918,0.066933511
0.503628085,0.364141803,0.819867112,0.364206595,0.405777729,0.988909071,0.200806354,0.511816556,0.986748135,1,0.775006527,0.159499183,0.156993551
0.284776902,0.216747788,0.806076194,0.154124307,0.958188386,0.806499986,0.399977102,0.285027083,0.879808426,0.907150595,0.029972068,0.572945019,0.359573049
0.378409562,0.313016378,0.771325301,0.018445386,0.311889201,0.850880404,0.544971685,0.391264713,0.889716828,0.781393941,0.377057779,0.575394665,0.158994885
0.424072408,0.358814663,0.806493797,0.011630817,0.381833341,0.329527921,0.856345435,0.463339087,0.657575678,0.580364597,0.509707867,0.546543277,0.368912608
0.087295408,0.080923501,0.93650141,1,0.265440286,0.92225853,0.437797416,0.135669814,0.952011598,0.94188798,0.812270747,0.530484486,0.224816544
